id,cliente_id,monto,segmento,status
1,1001,103.37,B,inactivo
2,1002,106.74,C,activo
3,1003,110.11,A,inactivo
4,1004,113.48,B,activo
5,1005,116.85,C,
6,1006,120.22,A,activo
7,1000,123.59,B,inactivo
8,1001,126.96,C,activo
9,1002,130.33,A,inactivo
10,1003,133.7,,activo
11,1004,137.07,C,inactivo
12,1005,140.44,A,activo
13,1006,143.81,B,inactivo
14,1000,147.18,C,activo
15,1001,150.55,A,inactivo
16,1002,153.92,B,activo
17,1003,157.29,C,inactivo
18,1004,160.66,A,activo
19,1005,164.03,B,inactivo
20,1006,167.4,C,activo
21,1000,170.77,A,inactivo
22,1001,174.14,B,activo
23,1002,177.51,C,inactivo
24,1003,180.88,A,activo
25,1004,184.25,B,inactivo
26,1005,187.62,C,activo
27,1006,190.99,A,inactivo
28,1000,194.36,B,activo
29,1001,197.73,C,inactivo
30,1002,201.1,A,activo
31,1003,204.47,B,inactivo
32,1004,207.84,C,activo
33,1005,211.21,A,inactivo
34,1006,214.58,B,activo
35,1000,217.95,C,inactivo
36,1001,221.32,A,activo
37,1002,224.69,B,inactivo
38,1003,228.06,C,activo
39,1004,231.43,A,inactivo
40,1005,234.8,B,activo
