id,cliente_id,monto,segmento,status
1,1001,103.37003,B,inactivo
2,1002,106.74003,C,activo
3,1003,110.11003,A,inactivo
4,1004,113.48003,B,activo
5,1005,116.85003,C,
6,1006,120.22003,A,activo
7,1000,123.59003,B,inactivo
8,1001,126.96003,C,activo
9,1002,130.33003,A,inactivo
10,1003,133.70003,B,activo
11,1004,137.07003,C,inactivo
12,1005,140.44003,A,activo
13,1006,143.81003,B,inactivo
14,1000,147.18003,C,activo
15,1001,150.55003,A,inactivo
16,1002,153.92003,B,activo
17,1003,157.29003,C,inactivo
18,1004,160.66003,A,activo
19,1005,164.03003,B,inactivo
20,1006,167.40003,C,activo
21,1000,170.77003,A,inactivo
22,1001,174.14003,B,activo
23,1002,177.51003,C,inactivo
24,1003,180.88003,A,activo
25,1004,184.25003,B,inactivo
26,1005,187.62003,C,activo
27,1006,190.99003,A,inactivo
28,1000,194.36003,B,activo
29,1001,197.73003,C,inactivo
30,1002,201.10003,A,activo
31,1003,204.47003,B,inactivo
32,1004,207.84003,C,activo
33,1005,211.21003,A,inactivo
34,1006,214.58003,B,activo
35,1000,217.95003,C,inactivo
36,1001,221.32003,A,activo
37,1002,224.69003,B,inactivo
38,1003,228.06003,C,activo
39,1004,231.43003,A,inactivo
40,1005,234.80003,B,activo
